캠페인ID,캠페인명,시작일,종료일,채널,캠페인유형,타깃세그먼트,노출수,클릭수,전환수,집행비용,매출기여,브랜드,담당자
MKT-2602-1465,02월_29CM_네이버_리타겟팅_1465,2026-02-04,2026-02-18,네이버,리타겟팅,신규유입,3607319,171049,14559,15976783,237413015,29CM,최유진
MKT-2602-0262,02월_29CM_네이버_브랜딩_262,2026-02-13,2026-02-14,네이버,브랜딩,2030여성,2376123,28849,346,28397068,74528159,29CM,김지현
MKT-2602-1012,02월_무신사_앱푸시_퍼포먼스_1012,2026-02-11,2026-02-15,앱푸시,퍼포먼스,MZ남성,1690889,58041,2455,13770662,62766921,무신사,박서연
MKT-2602-1581,02월_무신사_카카오_리타겟팅_1581,2026-02-17,2026-02-28,카카오,리타겟팅,MZ남성,414254,19868,1049,5117150,49057519,무신사,한도경
MKT-2602-1712,02월_29CM_CRM_리타겟팅_1712,2026-02-04,2026-02-10,CRM,리타겟팅,브랜드관심,2330363,104755,7949,19624534,194972033,29CM,한도경
MKT-2602-1528,02월_무신사_카카오_리타겟팅_1528,2026-02-20,2026-02-28,카카오,리타겟팅,브랜드관심,5836005,345026,19561,19196239,280958653,무신사,윤세영
MKT-2602-1665,02월_무신사_앱푸시_리타겟팅_1665,2026-02-17,2026-02-23,앱푸시,리타겟팅,VIP,1063270,55887,3973,14600352,187582776,무신사,정하늘
MKT-2602-0494,02월_무신사_CRM_브랜딩_494,2026-02-16,2026-02-28,CRM,브랜딩,브랜드관심,2686096,18764,258,17167372,50236007,무신사,최유진
MKT-2602-1355,02월_무신사_유튜브_리타겟팅_1355,2026-02-06,2026-02-10,유튜브,리타겟팅,VIP,414645,19729,1333,2032789,16596975,무신사,송민아
MKT-2602-1203,02월_무신사_틱톡_퍼포먼스_1203,2026-02-03,2026-02-11,틱톡,퍼포먼스,신규유입,85014,1378,62,923308,4450549,무신사,최유진
MKT-2602-0521,02월_29CM_CRM_브랜딩_521,2026-02-10,2026-02-19,CRM,브랜딩,신규유입,2646408,32139,327,27437958,51497179,29CM,최유진
MKT-2602-1841,02월_29CM_틱톡_리타겟팅_1841,2026-02-13,2026-02-25,틱톡,리타겟팅,신규유입,5959146,199945,14542,20498124,182918826,29CM,이준혁
MKT-2602-2092,02월_무신사_네이버_CRM_2092,2026-02-17,2026-02-22,네이버,CRM,이탈방지,1200111,79447,6636,17651817,89504915,무신사,김지현
MKT-2602-1683,02월_무신사_앱푸시_리타겟팅_1683,2026-02-17,2026-02-25,앱푸시,리타겟팅,MZ남성,2143502,78325,6892,17514335,223023504,무신사,한도경
MKT-2602-1230,02월_무신사_틱톡_퍼포먼스_1230,2026-02-03,2026-02-06,틱톡,퍼포먼스,이탈방지,1975660,43800,1991,24039849,117631289,무신사,이준혁
MKT-2602-0154,02월_29CM_유튜브_브랜딩_154,2026-02-14,2026-02-20,유튜브,브랜딩,MZ남성,1774541,11173,100,11137440,21143731,29CM,윤세영
MKT-2602-1735,02월_29CM_CRM_리타겟팅_1735,2026-02-10,2026-02-19,CRM,리타겟팅,신규유입,4265326,183142,13222,26663421,392255797,29CM,이준혁
MKT-2602-0618,02월_무신사_틱톡_브랜딩_618,2026-02-07,2026-02-20,틱톡,브랜딩,신규유입,473522,6307,39,6263889,18384893,무신사,한도경
