주문번호,주문일,주문시간,요일,채널,인원수,SKU,카테고리,메뉴명,수량,단가,합계,원가합계,주문총액,주문원가합계,앱수수료,PG수수료,광고수수료,사장배달비분담,정산순매출
CE-260301-0001,2026-03-01,13:59,일,쿠팡이츠,1,S012,식사,전복죽,1,18500,18500,6800,18500,6800,1813,500,0,3500,12687
CE-260301-0002,2026-03-01,22:57,일,쿠팡이츠,2,S003,식사,묵은지등갈비찜 (소),1,39000,39000,12500,39000,12500,3822,1053,0,3500,30625
CE-260301-0003,2026-03-01,12:14,일,쿠팡이츠,1,S003,식사,묵은지등갈비찜 (소),1,39000,39000,12500,53500,15700,5243,1444,0,3500,43313
CE-260301-0003,2026-03-01,12:14,일,쿠팡이츠,1,D003,사이드,감자전,1,14500,14500,3200,53500,15700,5243,1444,0,3500,43313
BM-260301-0001,2026-03-01,19:54,일,배민,1,S007,식사,보쌈 (소),1,33000,33000,11000,47500,14200,3230,1282,2375,3500,37113
BM-260301-0001,2026-03-01,19:54,일,배민,1,D003,사이드,감자전,1,14500,14500,3200,47500,14200,3230,1282,2375,3500,37113
BM-260301-0002,2026-03-01,19:50,일,배민,1,S003,식사,묵은지등갈비찜 (소),1,39000,39000,12500,54000,16100,3672,1458,2700,3500,42670
BM-260301-0002,2026-03-01,19:50,일,배민,1,D006,사이드,계란말이,1,9500,9500,2400,54000,16100,3672,1458,2700,3500,42670
BM-260301-0002,2026-03-01,19:50,일,배민,1,B003,음료,수정과,1,5500,5500,1200,54000,16100,3672,1458,2700,3500,42670
BM-260301-0003,2026-03-01,12:44,일,배민,1,S005,식사,간장게장 정식,1,33000,33000,14000,48000,17600,3264,1296,2400,3500,37540
BM-260301-0003,2026-03-01,12:44,일,배민,1,D006,사이드,계란말이,1,9500,9500,2400,48000,17600,3264,1296,2400,3500,37540
BM-260301-0003,2026-03-01,12:44,일,배민,1,B003,음료,수정과,1,5500,5500,1200,48000,17600,3264,1296,2400,3500,37540
BM-260301-0004,2026-03-01,12:23,일,배민,2,S005,식사,간장게장 정식,1,33000,33000,14000,44000,16400,2992,1188,2200,3500,34120
BM-260301-0004,2026-03-01,12:23,일,배민,2,B004,음료,식혜,2,5500,11000,2400,44000,16400,2992,1188,2200,3500,34120
CE-260301-0004,2026-03-01,12:29,일,쿠팡이츠,1,S012,식사,전복죽,1,18500,18500,6800,18500,6800,1813,500,0,3500,12687
CE-260301-0005,2026-03-01,12:13,일,쿠팡이츠,1,S009,식사,한우 육회비빔밥,1,23000,23000,10500,34500,13300,3381,932,0,3500,26687
CE-260301-0005,2026-03-01,12:13,일,쿠팡이츠,1,D007,사이드,도토리묵,1,11500,11500,2800,34500,13300,3381,932,0,3500,26687
BM-260301-0005,2026-03-01,18:34,일,배민,1,S009,식사,한우 육회비빔밥,1,23000,23000,10500,40500,15000,2754,1094,2025,3500,31127
BM-260301-0005,2026-03-01,18:34,일,배민,1,D004,사이드,해물파전,1,17500,17500,4500,40500,15000,2754,1094,2025,3500,31127
CE-260301-0006,2026-03-01,20:40,일,쿠팡이츠,1,S010,식사,들기름 막국수,1,13500,13500,4200,13500,4200,1323,364,0,3500,8313
CE-260301-0007,2026-03-01,19:37,일,쿠팡이츠,1,S001,식사,갈비탕,1,20000,20000,7800,37500,12300,3675,1012,0,3500,29313
CE-260301-0007,2026-03-01,19:37,일,쿠팡이츠,1,D004,사이드,해물파전,1,17500,17500,4500,37500,12300,3675,1012,0,3500,29313
CE-260301-0008,2026-03-01,12:20,일,쿠팡이츠,4,S002,식사,한우육개장,1,22000,22000,8200,22000,8200,2156,594,0,3500,15750
CE-260301-0009,2026-03-01,13:23,일,쿠팡이츠,2,S002,식사,한우육개장,1,22000,22000,8200,22000,8200,2156,594,0,3500,15750
