주문번호,주문일,주문시간,요일,인원수,SKU,카테고리,메뉴명,수량,단가,합계,원가합계,결제수단
P-260301-0001,2026-03-01,13:21,일,4,M003,코스,"런치 한상 (1인, 평일점심)",2,19000,38000,19600,카드
P-260301-0001,2026-03-01,13:21,일,4,S010,식사,들기름 막국수,1,13000,13000,4200,카드
P-260301-0001,2026-03-01,13:21,일,4,S009,식사,한우 육회비빔밥,1,22000,22000,10500,카드
P-260301-0001,2026-03-01,13:21,일,4,D003,사이드,감자전,1,14000,14000,3200,카드
P-260301-0002,2026-03-01,19:44,일,4,S001,식사,갈비탕,1,19000,19000,7800,카드
P-260301-0002,2026-03-01,19:44,일,4,S008,식사,보쌈 (대),1,52000,52000,19500,카드
P-260301-0002,2026-03-01,19:44,일,4,D002,사이드,수육 (소),1,26000,26000,8500,카드
P-260301-0002,2026-03-01,19:44,일,4,A002,주류,처음처럼,2,5000,10000,2400,카드
P-260301-0003,2026-03-01,18:53,일,3,S001,식사,갈비탕,1,19000,19000,7800,카드
P-260301-0003,2026-03-01,18:53,일,3,D006,사이드,계란말이,1,9000,9000,2400,카드
P-260301-0003,2026-03-01,18:53,일,3,D004,사이드,해물파전,1,17000,17000,4500,카드
P-260301-0003,2026-03-01,18:53,일,3,D002,사이드,수육 (소),1,26000,26000,8500,카드
P-260301-0003,2026-03-01,18:53,일,3,A006,주류,복분자주 (병),1,22000,22000,6800,카드
P-260301-0004,2026-03-01,13:43,일,3,S005,식사,간장게장 정식,1,32000,32000,14000,간편결제
P-260301-0004,2026-03-01,13:43,일,3,M003,코스,"런치 한상 (1인, 평일점심)",1,19000,19000,9800,간편결제
P-260301-0004,2026-03-01,13:43,일,3,M001,코스,청기와 한정식 (1인),1,39000,39000,16500,간편결제
P-260301-0004,2026-03-01,13:43,일,3,D006,사이드,계란말이,1,9000,9000,2400,간편결제
P-260301-0004,2026-03-01,13:43,일,3,B004,음료,식혜,2,5000,10000,2400,간편결제
P-260301-0005,2026-03-01,18:15,일,2,S002,식사,한우육개장,1,21000,21000,8200,카드
P-260301-0005,2026-03-01,18:15,일,2,S007,식사,보쌈 (소),1,32000,32000,11000,카드
P-260301-0005,2026-03-01,18:15,일,2,D002,사이드,수육 (소),1,26000,26000,8500,카드
P-260301-0005,2026-03-01,18:15,일,2,D006,사이드,계란말이,1,9000,9000,2400,카드
P-260301-0005,2026-03-01,18:15,일,2,A002,주류,처음처럼,2,5000,10000,2400,카드
P-260301-0006,2026-03-01,19:53,일,4,S004,식사,묵은지등갈비찜 (대),1,58000,58000,21000,카드
P-260301-0006,2026-03-01,19:53,일,4,S008,식사,보쌈 (대),1,52000,52000,19500,카드
P-260301-0006,2026-03-01,19:53,일,4,D007,사이드,도토리묵,1,11000,11000,2800,카드
P-260301-0006,2026-03-01,19:53,일,4,D002,사이드,수육 (소),1,26000,26000,8500,카드
P-260301-0006,2026-03-01,19:53,일,4,A002,주류,처음처럼,2,5000,10000,2400,카드
P-260301-0006,2026-03-01,19:53,일,4,A005,주류,한라산,1,14000,14000,4500,카드
P-260301-0006,2026-03-01,19:53,일,4,B003,음료,수정과,2,5000,10000,2400,카드
P-260301-0007,2026-03-01,13:36,일,2,S001,식사,갈비탕,1,19000,19000,7800,간편결제
P-260301-0007,2026-03-01,13:36,일,2,S002,식사,한우육개장,1,21000,21000,8200,간편결제
P-260301-0007,2026-03-01,13:36,일,2,B002,음료,콜라,2,4000,8000,1800,간편결제
P-260301-0008,2026-03-01,13:14,일,6,M003,코스,"런치 한상 (1인, 평일점심)",2,19000,38000,19600,카드
P-260301-0008,2026-03-01,13:14,일,6,S005,식사,간장게장 정식,1,32000,32000,14000,카드
P-260301-0008,2026-03-01,13:14,일,6,M001,코스,청기와 한정식 (1인),1,39000,39000,16500,카드
P-260301-0008,2026-03-01,13:14,일,6,S002,식사,한우육개장,1,21000,21000,8200,카드
P-260301-0008,2026-03-01,13:14,일,6,S009,식사,한우 육회비빔밥,1,22000,22000,10500,카드
P-260301-0008,2026-03-01,13:14,일,6,B005,음료,오미자차,2,6000,12000,3000,카드
P-260301-0009,2026-03-01,22:40,일,2,S001,식사,갈비탕,1,19000,19000,7800,카드
P-260301-0009,2026-03-01,22:40,일,2,S007,식사,보쌈 (소),1,32000,32000,11000,카드
P-260301-0009,2026-03-01,22:40,일,2,D003,사이드,감자전,1,14000,14000,3200,카드
P-260301-0009,2026-03-01,22:40,일,2,D006,사이드,계란말이,1,9000,9000,2400,카드
P-260301-0009,2026-03-01,22:40,일,2,D004,사이드,해물파전,1,17000,17000,4500,카드
P-260301-0009,2026-03-01,22:40,일,2,A001,주류,참이슬 후레쉬,2,5000,10000,2400,카드
P-260301-0010,2026-03-01,14:06,일,3,S002,식사,한우육개장,1,21000,21000,8200,카드
P-260301-0010,2026-03-01,14:06,일,3,S010,식사,들기름 막국수,1,13000,13000,4200,카드
P-260301-0010,2026-03-01,14:06,일,3,S005,식사,간장게장 정식,1,32000,32000,14000,카드
P-260301-0011,2026-03-01,11:02,일,8,S010,식사,들기름 막국수,1,13000,13000,4200,간편결제
P-260301-0011,2026-03-01,11:02,일,8,S009,식사,한우 육회비빔밥,2,22000,44000,21000,간편결제
P-260301-0011,2026-03-01,11:02,일,8,S005,식사,간장게장 정식,1,32000,32000,14000,간편결제
P-260301-0011,2026-03-01,11:02,일,8,M003,코스,"런치 한상 (1인, 평일점심)",3,19000,57000,29400,간편결제
P-260301-0011,2026-03-01,11:02,일,8,S002,식사,한우육개장,1,21000,21000,8200,간편결제
P-260301-0011,2026-03-01,11:02,일,8,D006,사이드,계란말이,1,9000,9000,2400,간편결제
P-260301-0011,2026-03-01,11:02,일,8,B001,음료,사이다,2,4000,8000,1800,간편결제
P-260301-0012,2026-03-01,19:29,일,3,M002,코스,청기와 프리미엄 한정식 (1인),3,59000,177000,72000,계좌이체
P-260301-0012,2026-03-01,19:29,일,3,E002,디저트,약과 3종,1,6000,6000,1500,계좌이체
P-260301-0013,2026-03-01,18:35,일,8,S008,식사,보쌈 (대),1,52000,52000,19500,카드
P-260301-0013,2026-03-01,18:35,일,8,S001,식사,갈비탕,1,19000,19000,7800,카드
P-260301-0013,2026-03-01,18:35,일,8,D004,사이드,해물파전,1,17000,17000,4500,카드
P-260301-0013,2026-03-01,18:35,일,8,D002,사이드,수육 (소),1,26000,26000,8500,카드
P-260301-0013,2026-03-01,18:35,일,8,D006,사이드,계란말이,1,9000,9000,2400,카드
P-260301-0013,2026-03-01,18:35,일,8,A003,주류,테라,2,6000,12000,3000,카드
P-260301-0013,2026-03-01,18:35,일,8,A005,주류,한라산,1,14000,14000,4500,카드
P-260301-0013,2026-03-01,18:35,일,8,A007,주류,막걸리 (병),2,8000,16000,3600,카드
P-260301-0014,2026-03-01,20:14,일,2,S005,식사,간장게장 정식,1,32000,32000,14000,간편결제
P-260301-0014,2026-03-01,20:14,일,2,D001,사이드,한치회무침,1,22000,22000,7800,간편결제
P-260301-0014,2026-03-01,20:14,일,2,D004,사이드,해물파전,1,17000,17000,4500,간편결제
P-260301-0014,2026-03-01,20:14,일,2,D002,사이드,수육 (소),1,26000,26000,8500,간편결제
P-260301-0014,2026-03-01,20:14,일,2,A001,주류,참이슬 후레쉬,2,5000,10000,2400,간편결제
P-260301-0014,2026-03-01,20:14,일,2,B003,음료,수정과,1,5000,5000,1200,간편결제
P-260301-0015,2026-03-01,14:03,일,2,S005,식사,간장게장 정식,1,32000,32000,14000,카드
P-260301-0015,2026-03-01,14:03,일,2,M001,코스,청기와 한정식 (1인),1,39000,39000,16500,카드
P-260301-0016,2026-03-01,12:12,일,2,S001,식사,갈비탕,1,19000,19000,7800,간편결제
P-260301-0016,2026-03-01,12:12,일,2,S010,식사,들기름 막국수,1,13000,13000,4200,간편결제
P-260301-0017,2026-03-01,11:48,일,2,M003,코스,"런치 한상 (1인, 평일점심)",1,19000,19000,9800,카드
